entity_id,entity_type,name,normalized_name,aliases,source_record,confidence,properties
P017,PERSON,Ravi Kumar,ravi kumar,Ravi,C001;C002;C025;C046;C049;C071;C072,0.95,{}
P018,PERSON,Rohit Gupta,rohit gupta,Rohit,C018;C019;C039;C042;C064;C065,0.95,{}
P019,PERSON,Sanjay Verma,sanjay verma,Sanjay,C016;C017;C037;C040;C062;C063,0.95,{}
P020,PERSON,Sneha Rao,sneha rao,Sneha,C009;C010;C030;C033;C055;C056;C078;C080,0.95,{}
P021,PERSON,Suresh Rao,suresh rao,Suresh,C001;C004;C026;C047;C049;C073,0.95,{}
P022,PERSON,Swati Verma,swati verma,Swati,C023;C024;C044;C047;C069;C070,0.95,{}
P023,PERSON,Varun Reddy,varun reddy,Varun,C020;C021;C041;C044;C066;C067,0.95,{}
P024,PERSON,Vikram Singh,vikram singh,Vikram,C010;C011;C031;C034;C056;C057;C079,0.95,{}
PH001,PHONE,9000000001,9000000001,,C001;C017;C034,0.95,{}
PH002,PHONE,9000000002,9000000002,,C001;C018;C035,0.95,{}
PH003,PHONE,9000000003,9000000003,,C002;C020;C036,0.95,{}
PH004,PHONE,9000000004,9000000004,,C003;C021;C037,0.95,{}
PH005,PHONE,9000000005,9000000005,,C004;C022;C038,0.95,{}
PH006,PHONE,9000000006,9000000006,,C005;C023;C039,0.95,{}
PH007,PHONE,9000000007,9000000007,,C006;C025;C040,0.95,{}
PH008,PHONE,9000000008,9000000008,,C007;C026;C041,0.95,{}
PH009,PHONE,9000000009,9000000009,,C008;C027;C042,0.95,{}
PH010,PHONE,9000000010,9000000010,,C009;C028;C043,0.95,{}
PH011,PHONE,9000000011,9000000011,,C010;C029;C044,0.95,{}
PH012,PHONE,9000000012,9000000012,,C011;C030;C045,0.95,{}
PH013,PHONE,9000000013,9000000013,,C012;C031;C046,0.95,{}
PH014,PHONE,9000000014,9000000014,,C013;C032;C047,0.95,{}
PH015,PHONE,9000000015,9000000015,,C014;C033;C048,0.95,{}
V001,VEHICLE,Honda Activa,honda activa,,C006;C017;C030;C041,0.95,{}
V002,VEHICLE,Honda City,honda city,,C002;C010;C018;C028;C034;C042,0.95,{}
V003,VEHICLE,Hyundai Creta,hyundai creta,,C003;C020;C027;C044,0.95,{}
V004,VEHICLE,Hyundai Venue,hyundai venue,,C013;C037,0.95,{}
V005,VEHICLE,Hyundai i20,hyundai i20,,C007;C024;C031;C048,0.95,{}
V006,VEHICLE,Maruti Baleno,maruti baleno,,C009;C022;C032;C033;C046,0.95,{}
V007,VEHICLE,Maruti Swift,maruti swift,,C004;C015;C026;C039,0.95,{}
V008,VEHICLE,Swift,swift,,C001;C004;C015;C025;C026;C039,0.95,{}
V009,VEHICLE,Tata Altroz,tata altroz,,C011;C021;C035;C036;C045,0.95,{}
V010,VEHICLE,Tata Nexon,tata nexon,,C005;C014;C029;C038,0.95,{}
